gene_0,gene_1,gene_2,gene_3,gene_4,gene_5,gene_6,gene_7,gene_8,gene_9,gene_10,gene_11,gene_12,gene_13,gene_14,gene_15,gene_16,gene_17,gene_18,gene_19,gene_20,gene_21,gene_22,gene_23,gene_24,gene_25,gene_26,gene_27,gene_28,gene_29,gene_30,gene_31,gene_32,gene_33,gene_34,gene_35,gene_36,gene_37,gene_38,gene_39,latency_ms,valid_loss
6,1,1,1,0,1,1,1,0,0,0,-1,-1,-1,-1,-1,0,1,1,1,0,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,44.30685341358185,1.509252603002123
6,1,1,0,0,0,1,0,0,0,1,-1,0,-1,2,1,0,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,2,-1,-1,-1,1,1,46.000006794929504,1.4765361231615821
6,1,1,0,1,0,2,2,2,0,1,-1,-1,-1,-1,2,0,1,1,1,1,1,1,0,-1,-1,-1,0,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,46.29880487918854,1.4718342614261912
6,1,1,1,0,0,1,1,0,0,2,-1,-1,-1,-1,-1,0,0,0,1,0,0,0,-1,1,-1,-1,-1,0,-1,-1,-1,-1,-1,2,0,-1,-1,-1,2,39.108821749687195,2.426887693393901
6,3,1,1,2,1,2,1,0,2,2,2,1,-1,-1,-1,0,1,1,1,1,1,1,1,1,-1,0,-1,1,1,1,0,-1,-1,1,0,2,-1,-1,-1,109.74781513214111,1.3240196640598818
6,2,1,1,0,1,1,0,0,0,1,1,-1,-1,-1,-1,0,1,1,1,0,1,0,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,74.24237132072449,1.412825054563768
6,1,1,1,0,1,1,1,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,1,1,-1,1,-1,1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,39.195844531059265,2.3954703571880516
6,2,0,1,1,1,2,2,0,2,1,2,-1,-1,2,0,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,0,2,1,-1,2,-1,79.4043242931366,1.3537558010589437
6,1,0,1,0,0,1,0,0,0,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,0,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,39.5411878824234,2.324600017787968
6,1,1,0,1,1,1,2,1,0,1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,-1,-1,-1,-1,0,1,-1,-1,0,-1,-1,0,-1,-1,-1,1,-1,46.59985601902008,1.4713994394463465
6,2,0,1,1,1,2,2,0,2,1,2,-1,-1,-1,-1,0,1,1,1,1,1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,78.7090539932251,1.3556175946683071
