vector_0,vector_1,vector_2,vector_3,vector_4,vector_5,vector_6,vector_7,vector_8,vector_9,vector_10,vector_11,vector_12,vector_13,vector_14,vector_15,vector_16,vector_17,vector_18,vector_19,vector_20,vector_21,vector_22,accuracy,latency,memory
4,0,2,1,1,0,1,2,0,1,0,0,1,1,1,1,1,0,0,0,0,1,-1,70.86874999999999,0.0276317191123962,5281.34
2,0,2,1,1,0,0,1,0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,62.5925,0.0156877279281616,4837.16
4,0,0,1,0,1,1,1,1,0,1,0,0,1,0,1,1,2,1,0,0,1,-1,70.83125,0.0371439003944397,5606.23
4,0,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1,1,0,-1,70.75,0.0363973069190979,5308.74
2,1,1,0,0,0,1,1,1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65.26875,0.0127286744117736,4854.81
4,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,2,0,1,1,1,-1,72.60874999999999,0.0363347434997558,5612.26
4,0,0,0,0,1,0,1,0,0,1,1,2,1,0,1,1,1,0,0,0,0,-1,71.17875000000001,0.0346685886383056,5373.35
2,1,1,1,0,0,0,2,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66.935,0.0093713450431823,5108.18
4,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,-1,68.26875,0.0216867089271545,5361.35
4,0,2,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,-1,70.565,0.0340397930145263,5344.12
2,1,0,1,0,0,0,1,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66.71125,0.014172785282135,4849.34
4,1,1,0,0,0,1,0,0,0,1,1,2,0,0,1,1,0,1,0,0,1,-1,73.68375,0.0319480776786804,5353.7
4,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,2,1,0,1,1,-1,72.24375,0.0294266128540039,5609.54
4,1,2,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,0,-1,73.8825,0.0328253531455993,5285.12
2,0,1,0,0,0,0,0,0,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63.78625,0.0122273755073547,4712.53
4,0,1,1,0,0,1,1,0,0,1,0,2,1,1,1,1,0,1,1,0,1,-1,69.66875,0.0303307723999023,5366.74
4,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,-1,69.57749999999999,0.0228882908821105,5226.7
2,1,2,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66.38125,0.0106256294250488,4854.91
4,1,0,1,1,0,0,2,0,1,1,0,2,0,0,0,0,0,1,1,1,1,-1,73.2325,0.0344636273384094,5367.54
2,1,2,0,1,1,0,2,1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,69.27125000000001,0.0189846181869506,5105.22
2,0,0,0,0,0,1,0,1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,64.21875,0.015218448638916,4714.61
2,1,0,1,1,0,0,2,1,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66.165,0.0171302080154418,5106.9
2,1,2,0,1,1,0,0,1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,69.70125,0.0170725274085998,4855.47
2,1,1,1,1,0,0,1,1,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67.15875,0.0103239130973815,4793.33
2,1,2,0,0,1,1,1,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67.54375,0.0148908710479736,4857.38
4,0,1,1,0,0,0,2,1,0,1,0,0,0,0,1,0,2,1,1,1,1,-1,71.075,0.0376550102233886,5608.63
2,0,1,0,1,0,1,2,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63.26875,0.015974702835083,5079.69
4,1,0,1,1,1,0,2,1,0,0,0,2,1,0,0,0,0,0,1,1,1,-1,73.6175,0.0343658757209777,5370.98
4,1,2,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,-1,75.13,0.0337937450408935,5379.86
4,0,2,0,1,1,0,2,1,1,1,1,2,0,1,0,0,1,0,0,0,1,-1,70.76625,0.0347319364547729,5372.18
4,0,2,1,1,1,0,2,1,1,1,0,1,0,1,1,0,1,1,0,0,0,-1,71.85875,0.035441768169403,5308.61
2,0,1,0,0,1,0,1,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67.86999999999999,0.0158264422416687,4780.88
4,0,0,1,0,1,1,1,1,0,0,0,2,1,1,1,0,0,1,1,1,0,-1,70.17,0.0364384841918945,5367.83
2,0,1,1,1,1,1,1,1,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66.09124999999999,0.0172614121437072,4773.12
4,0,0,1,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,0,0,-1,70.39875,0.0279860663414001,5229.89
4,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,2,1,0,0,0,-1,70.68625,0.0265617561340332,5616.29
2,1,0,0,1,1,1,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,59.037499999999994,0.0125070834159851,4794.21
2,0,1,1,0,0,0,0,1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63.0775,0.0131055760383605,4688.69
4,1,2,1,1,0,0,0,0,1,1,0,2,1,1,1,0,1,0,1,0,0,-1,72.61375,0.0318932557106018,5370.9
