vector_0,vector_1,vector_2,vector_3,vector_4,vector_5,vector_6,vector_7,vector_8,vector_9,vector_10,vector_11,vector_12,vector_13,vector_14,vector_15,vector_16,vector_17,vector_18,vector_19,vector_20,vector_21,vector_22,accuracy,latency
2,1,0,1,0,0,0,1,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66.71125,1.7962375164031983
4,1,1,0,0,0,1,0,0,0,1,1,2,0,0,1,1,0,1,0,0,1,-1,73.68375,2.9294012913703917
4,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,2,1,0,1,1,-1,72.24375,2.9715267724990846
4,1,2,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,0,-1,73.8825,3.5138785610198973
2,0,1,0,0,0,0,0,0,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63.78625,2.2376590921878816
4,0,1,1,0,0,1,1,0,0,1,0,2,1,1,1,1,0,1,1,0,1,-1,69.66875,2.775259127378464
4,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,-1,69.57749999999999,2.35163343000412
2,1,2,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66.38125,2.032360602617264
4,1,0,1,1,0,0,2,0,1,1,0,2,0,0,0,0,0,1,1,1,1,-1,73.2325,3.6170886170864107
2,1,2,0,1,1,0,2,1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,69.27125000000001,2.5216859829425813
2,0,0,0,0,0,1,0,1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,64.21875,1.9990788197517395
2,1,0,1,1,0,0,2,1,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66.165,2.2525897059440614
2,1,2,0,1,1,0,0,1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,69.70125,2.5442135775089265
2,1,1,1,1,0,0,1,1,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67.15875,2.2611084773540497
2,1,2,0,0,1,1,1,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67.54375,2.210077271223068
4,0,1,1,0,0,0,2,1,0,1,0,0,0,0,1,0,2,1,1,1,1,-1,71.075,2.923426293849945
2,0,1,0,1,0,1,2,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63.268750000000004,1.9568999586105347
4,1,0,1,1,1,0,2,1,0,0,0,2,1,0,0,0,0,0,1,1,1,-1,73.6175,3.544614228963852
4,1,2,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,-1,75.13,3.4849118421077727
4,0,2,0,1,1,0,2,1,1,1,1,2,0,1,0,0,1,0,0,0,1,-1,70.76625,2.9656126499176025
4,0,2,1,1,1,0,2,1,1,1,0,1,0,1,1,0,1,1,0,0,0,-1,71.85875,3.43766631436348
2,0,1,0,0,1,0,1,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67.86999999999999,2.1062714862823486
4,0,0,1,0,1,1,1,1,0,0,0,2,1,1,1,0,0,1,1,1,0,-1,70.17,3.190935451030731
2,0,1,1,1,1,1,1,1,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66.09124999999999,2.4073150742053984
4,0,0,1,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,0,0,-1,70.39875,2.7774835393428803
4,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,2,1,0,0,0,-1,70.68625,2.629144523859024
2,1,0,0,1,1,1,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,59.037499999999994,2.5123159267902375
2,0,1,1,0,0,0,0,1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63.0775,2.0328275458812715
4,1,2,1,1,0,0,0,0,1,1,0,2,1,1,1,0,1,0,1,0,0,-1,72.61375,3.5465721588134764
2,1,0,0,1,1,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,58.26,2.6538688764572145
2,0,0,1,1,1,1,2,1,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67.455,2.2588452973365785
2,1,2,1,1,0,0,0,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67.6675,2.520345266819
4,1,0,1,0,0,1,2,0,0,0,1,2,0,0,0,0,1,0,0,0,1,-1,72.80000000000001,2.593780934333801
2,0,1,1,1,0,1,1,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,64.3575,1.9889732973575591
4,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,-1,71.0775,3.572818895816803
2,1,0,1,1,1,1,2,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,70.015,2.5180574514865874
2,0,0,0,0,1,1,0,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,64.5925,1.9668649508953095
2,0,2,0,0,0,0,0,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63.801249999999996,1.8411061203479766
4,0,1,1,0,0,0,2,1,0,0,1,1,0,0,0,0,2,1,1,0,1,-1,69.86375,2.196657984972
4,1,2,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,1,0,1,1,-1,73.78,2.8035388767719267
4,0,1,0,1,1,0,0,0,1,1,0,2,1,1,1,0,1,1,0,1,0,-1,72.2275,3.537784377336502
2,0,1,1,0,1,1,1,1,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66.81125,2.198787320137024
4,0,0,0,1,1,0,2,1,1,0,0,2,0,0,0,1,0,0,1,0,0,-1,69.91875,2.5471778049468994
4,0,1,1,1,1,1,2,1,1,1,0,0,0,1,1,1,0,1,0,0,1,-1,71.4125,3.407644072532654
